Company,valuation,date_Joined,industry,city,country,continent,year_founded,funding,select_investors,unicorn-year,years_to_unicorn,valuation_b,fundings_b,fundings_category,valuation_efficiency
Advance Intelligence Group,$2B,23-09-2021,Artificial intelligence,,Singapore,Asia,2016,$536M,"Vision Plus Capital, GSR Ventures, ZhenFund",2021,5,2,0.536,Medium Funding,3.731343284
Aiven,$2B,18-10-2021,Internet software & services,Helsinki,Finland,Europe,2016,$210M,"Institutional Venture Partners, Atomico, Earlybird Venture Capital",2021,5,2,0.21,Low Funding,9.523809524
Akulaku,$2B,15-02-2022,E-commerce & direct-to-consumer,Jakarta,Indonesia,Asia,2014,$438M,"DCM Ventures, IDG Capital, Siam Commercial Bank",2022,8,2,0.438,Low Funding,4.566210046
Apeel Sciences,$2B,26-05-2020,Other,Goleta,United States,North America,2012,$640M,"Upfront Ventures, Tao Capital Partners, Andreessen Horowitz",2020,8,2,0.64,Medium Funding,3.125
AppsFlyer,$2B,21-01-2020,Mobile & telecommunications,San Francisco,United States,North America,2011,$293M,"Magma Venture Partners, Pitango Venture Capital, Qumra Capital",2020,9,2,0.293,Low Funding,6.825938567
Avant,$2B,17-12-2012,Artificial intelligence,Chicago,United States,North America,2012,$658M,"RRE Ventures, Tiger Global, August Capital",2012,0,2,0.658,Medium Funding,3.039513678
Aviatrix,$2B,08-09-2021,Internet software & services,Santa Clara,United States,North America,2014,$341M,"Ignition Partners, Formation 8, CRV",2021,7,2,0.341,Low Funding,5.865102639
BlaBlaCar,$2B,16-09-2015,Auto & transportation,Paris,France,Europe,2006,$449M,"Accel Partners, Index Ventures, Insight Venture Partners",2015,9,2,0.449,Low Funding,4.454342984
Black Sesame Technologies,$2B,22-09-2021,Artificial intelligence,Shanghai,China,Asia,2016,$115M,"Northern Light Venture Capital, Xiaomi, FutureX Capital",2021,5,2,0.115,Low Funding,17.39130435
Bunq,$2B,18-06-2021,Fintech,Amsterdam,Netherlands,Europe,2013,$281M,Undisclosed,2021,8,2,0.281,Low Funding,7.117437722
Calm,$2B,06-02-2019,Consumer & retail,San Francisco,United States,North America,2012,$218M,"Insight Venture Partners, TPG Growth, Sound Ventures",2019,7,2,0.218,Low Funding,9.174311927
Chipper Cash,$2B,31-05-2021,Fintech,San Francisco,United States,North America,2017,$302M,"Deciens Capital, Bezos Expeditions, 500 Startups",2021,4,2,0.302,Low Funding,6.622516556
Clearco,$2B,20-04-2021,Fintech,Toronto,Canada,North America,2015,$433M,"Highland Capital Partners, Oak HC/FT Partners, Emergence Capital Partners",2021,6,2,0.433,Low Funding,4.618937644
ClickHouse,$2B,28-10-2021,Data management & analytics,Portola Valley,United States,North America,2021,$300M,"Lightspeed Venture Partners, Almaz Capital Partners, Altimeter Capital",2021,0,2,0.3,Low Funding,6.666666667
Clip,$2B,10-06-2021,Fintech,Mexico City,Mexico,North America,2012,$381M,"Alta Ventures Mexico, General Atlantic, SoftBank Group",2021,9,2,0.381,Low Funding,5.249343832
Cloudinary,$2B,15-02-2022,Internet software & services,Santa Clara,United States,North America,2011,$100M,"Blackstone, Bessemer Venture Partners",2022,11,2,0.1,Low Funding,20
Deliverr,$2B,22-11-2021,"Supply chain, logistics, & delivery",San Francisco,United States,North America,2017,$456M,"8VC, Activant Capital, GLP Capital Partners",2021,4,2,0.456,Low Funding,4.385964912
Divvy Homes,$2B,13-08-2021,Fintech,San Francisco,United States,North America,2017,$370M,"Andreessen Horowitz, Caffeinated Capital, SciFi VC",2021,4,2,0.37,Low Funding,5.405405405
Dremio,$2B,06-01-2021,Data management & analytics,Santa Clara,United States,North America,2015,$410M,"Lightspeed Venture Partners, Redpoint Ventures, Norwest Venture Partners",2021,6,2,0.41,Low Funding,4.87804878
Druva,$2B,20-06-2019,Data management & analytics,Sunnyvale,United States,North America,2007,$475M,"Nexus Venture Partners, Tenaya Capital, Sequoia Capital",2019,12,2,0.475,Low Funding,4.210526316
Everlaw,$2B,10-03-2020,Internet software & services,Oakland,United States,North America,2010,$299M,"K9 Ventures, Menlo Ventures, Andreessen Horowitz",2020,10,2,0.299,Low Funding,6.688963211
Exotec,$2B,17-01-2022,Hardware,Croix,France,Europe,2015,$450M,"Breega Capital, Iris Capital, 360 Capital Partners",2022,7,2,0.45,Low Funding,4.444444444
Formlabs,$2B,01-08-2018,Hardware,Somerville,United States,North America,2011,$251M,"Pitango Venture Capital, DFJ Growth Fund, Foundry Group",2018,7,2,0.251,Low Funding,7.96812749
Guoquan Shihui,$2B,17-03-2021,Consumer & retail,Shanghai,China,Asia,2017,$523M,"Tiantu Capital, CMB International Capital, Vision Knight Capital",2021,4,2,0.523,Medium Funding,3.824091778
Hive,$2B,21-04-2021,Artificial intelligence,San Francisco,United States,North America,2013,$121M,"Tomales Bay Capital, Bain & Company, General Catalyst",2021,8,2,0.121,Low Funding,16.52892562
HuiMin,$2B,05-09-2016,E-commerce & direct-to-consumer,Beijing,China,Asia,2013,$517M,"Zheshang Venture Capital, GP Capital, Western Capital Management",2016,3,2,0.517,Medium Funding,3.868471954
ISN,$2B,17-12-2020,"Supply chain, logistics, & delivery",Dallas,United States,North America,2001,Unknown,Blackstone,2020,19,2,,Unknown,0
Iterable,$2B,15-06-2021,Internet software & services,San Francisco,United States,North America,2013,$342M,"CRV, Blue Cloud Ventures, Index Ventures",2021,8,2,0.342,Low Funding,5.847953216
Kajabi,$2B,04-05-2021,Internet software & services,Irvine,United States,North America,2010,$550M,"Meritech Capital Partners, Tiger Global Management, Spectrum Equity",2021,11,2,0.55,Medium Funding,3.636363636
Kaseya,$2B,27-03-2019,Cybersecurity,Miami,United States,North America,2000,$545M,"Insight Partners, TPG Alternative & Renewable Technologies, Ireland Strategic Investment Fund",2019,19,2,0.545,Medium Funding,3.669724771
Keep,$2B,19-05-2020,Mobile & telecommunications,Beijing,China,Asia,2014,$614M,"Bertelsmann Asia Investments, GGV Capital, Morningside Venture Capital",2020,6,2,0.614,Medium Funding,3.25732899
KRY,$2B,27-04-2021,Health,Stockholm,Sweden,Europe,2014,$569M,"Index Ventures, Creandum, Accel",2021,7,2,0.569,Medium Funding,3.514938489
Loggi,$2B,05-06-2019,"Supply chain, logistics, & delivery",Sao Paulo,Brazil,South America,2013,$507M,"Qualcomm Ventures, SoftBank Group, Monashees+",2019,6,2,0.507,Medium Funding,3.944773176
LTK,$2B,22-11-2021,Internet software & services,Dallas,United States,North America,2011,$315M,"SoftBank Group, Maverick Capital",2021,10,2,0.315,Low Funding,6.349206349
Lunar,$2B,12-07-2021,Fintech,Aarhus,Denmark,Europe,2015,$448M,"SEED Capital, Greyhound Capital, Socii Capital",2021,6,2,0.448,Low Funding,4.464285714
Mafengwo,$2B,23-05-2019,Travel,Beijing,China,Asia,2010,$503M,"Qiming Venture Partners, Capital Today, General Atlantic",2019,9,2,0.503,Medium Funding,3.976143141
Magic Leap,$2B,21-10-2014,Hardware,Plantation,United States,North America,2010,$3B,"Obvious Ventures, Qualcomm Ventures, Andreessen Horowitz",2014,4,2,3,High Funding,0.666666667
Misfits Market,$2B,21-04-2021,E-commerce & direct-to-consumer,Pennsauken,United States,North America,2018,$527M,"Accel, D1 Capita Partners, Greenoaks Capital Management",2021,3,2,0.527,Medium Funding,3.795066414
Modern Treasury,$2B,06-10-2021,Fintech,San Francisco,United States,North America,2018,$183M,"Benchmark, Altimeter Capital, Quiet Capital",2021,3,2,0.183,Low Funding,10.92896175
MURAL,$2B,20-07-2021,Internet software & services,San Francisco,United States,North America,2011,$192M,"Insight Partners, Tiger Global Management, Gradient Ventures",2021,10,2,0.192,Low Funding,10.41666667
Mynt,$2B,01-11-2021,Fintech,Taguig City,Philippines,Asia,2015,$475M,"Insight Partners, Warburg Pincus, Ayala Corporation",2021,6,2,0.475,Low Funding,4.210526316
Neo4j,$2B,17-06-2021,Data management & analytics,San Mateo,United States,North America,2007,$408M,"Eight Roads Ventures, One Peak Partners, Creandum",2021,14,2,0.408,Low Funding,4.901960784
Netlify,$2B,17-11-2021,Internet software & services,San Francisco,United States,North America,2014,$202M,"Andreessen Horowitz, Kleiner Perkins Caufield & Byers, EQT Ventures",2021,7,2,0.202,Low Funding,9.900990099
OCSiAl,$2B,04-03-2019,Other,Leudelange,Luxembourg,Europe,2012,$285M,"A&NN, Rusnano",2019,7,2,0.285,Low Funding,7.01754386
Opay,$2B,23-08-2021,Fintech,Lagos,Nigeria,Africa,2018,$570M,"Sequoia Capital China, Source Code Capital, Redpoint Ventures China",2021,3,2,0.57,Medium Funding,3.50877193
Pipe,$2B,19-05-2021,Fintech,Miami,United States,North America,2019,$566M,"next47, MaC Venture Capital, FinVC",2021,2,2,0.566,Medium Funding,3.533568905
Preferred Networks,$2B,17-05-2018,Artificial intelligence,Tokyo,Japan,Asia,2014,$147M,"Toyota Motor Corporation, Mizuho Financial Group, FANUC",2018,4,2,0.147,Low Funding,13.60544218
Quora,$2B,21-04-2017,Internet software & services,Mountain View,United States,North America,2009,$226M,"Y Combinator, Matrix Partners, Benchmark",2017,8,2,0.226,Low Funding,8.849557522
Redis Labs,$2B,25-08-2020,Data management & analytics,Mountain View,United States,North America,2011,$356M,"Viola Ventures, Dell Technologies Capital, Bain Capital Ventures",2020,9,2,0.356,Low Funding,5.617977528
SmartNews,$2B,05-08-2019,Mobile & telecommunications,Tokyo,Japan,Asia,2012,$410M,"Japan Post Capital, Globis Capital Partners, Atomico",2019,7,2,0.41,Low Funding,4.87804878
Spring Health,$2B,16-09-2021,Health,New York,United States,North America,2016,$296M,"Rethink Impact, Work-Bench, RRE Ventures",2021,5,2,0.296,Low Funding,6.756756757
StarkWare,$2B,17-11-2021,Cybersecurity,Netanya,Israel,Asia,2018,$161M,"Sequoia Capital, Paradigm, Pantera Capital",2021,3,2,0.161,Low Funding,12.42236025
SWORD Health,$2B,22-11-2021,Health,New York,United States,North America,2015,$296M,"Khosla Ventures, Green Innovations, Founders Fund",2021,6,2,0.296,Low Funding,6.756756757
Tier,$2B,25-10-2021,Travel,Berlin,Germany,Europe,2018,$587M,"Northzone Ventures, White Star Capital, Novator Partners",2021,3,2,0.587,Medium Funding,3.407155026
Trendy Group International,$2B,13-02-2012,Consumer & retail,Kowloon,Hong Kong,Asia,1999,$200M,L Capital Partners,2012,13,2,0.2,Low Funding,10
Unqork,$2B,06-10-2020,Fintech,New York,United States,North America,2017,$365M,"Blackrock, capitalG, World Lab Innovation",2020,3,2,0.365,Low Funding,5.479452055
VerbIT,$2B,08-06-2021,Artificial intelligence,New York,United States,North America,2016,$432M,"ClalTech, Vertex Ventures, Oryzn Capital",2021,5,2,0.432,Low Funding,4.62962963
Virta Health,$2B,02-12-2020,Health,San Francisco,United States,North America,2015,$373M,"Caffeinated Capital, Obvious Ventures, Venrock",2020,5,2,0.373,Low Funding,5.361930295
Xinchao Media,$2B,09-04-2018,Internet software & services,Chengdu,China,Asia,2007,$768M,"JD.com, Baidu, Vision Plus Capital",2018,11,2,0.768,Medium Funding,2.604166667
Xingyun Group,$2B,24-09-2020,E-commerce & direct-to-consumer,Shenzhen,China,Asia,2015,$950M,"Matrix Partners China, Eastern Bell Capital, Hongtai Capital Holdings",2020,5,2,0.95,Medium Funding,2.105263158
XtalPi,$2B,11-08-2021,Artificial intelligence,Shenzhen,China,Asia,2014,$786M,"Tencent Holdings, 5Y Capital, Sequoia Capital China",2021,7,2,0.786,Medium Funding,2.544529262
Zilch,$2B,10-11-2021,Fintech,London,United Kingdom,Europe,2018,$339M,"Gauss Ventures, Ventura Capital, dmg ventures",2021,3,2,0.339,Low Funding,5.899705015
56PINGTAI,$1B,25-01-2021,"Supply chain, logistics, & delivery",Shanghai,China,Asia,2013,$188M,"QF Capital, QC Capital, Unicom Innovation Venture Capital",2021,8,1,0.188,Low Funding,5.319148936
Alzheon,$1B,30-09-2020,Health,Framingham,United States,North America,2013,$94M,"ARCH Venture Partners, Ally Bridge Group",2020,7,1,0.094,Low Funding,10.63829787
Aprogen,$1B,31-05-2019,Health,Seongnam-Si,South Korea,Asia,2000,$62M,"Lindeman Asia Investment, Nichi-Iko Pharmaceutical",2019,19,1,0.062,Low Funding,16.12903226
Axtria,$1B,13-05-2021,Data management & analytics,Berkeley Heights,United States,North America,2009,$206M,"Helion Venture Partners, Bain Capital Tech Opportunities, Sequoia Capital India",2021,12,1,0.206,Low Funding,4.854368932
Cell C,$1B,07-08-2017,Mobile & telecommunications,Midrand,South Africa,Africa,2000,$547M,"Blue Label Telecoms, Net1 UEPS Technologies",2017,17,1,0.547,Medium Funding,1.828153565
China Cloud,$1B,11-06-2018,Hardware,Wuxi,China,Asia,2010,$523M,"V Star Capital, GF Xinde Investment Management Co., Haitong Leading Capital Management",2018,8,1,0.523,Medium Funding,1.912045889
CredAvenue,$1B,07-03-2022,Fintech,Chennai,India,Asia,2017,$227M,"Insight Partners, B Capital Group, Lightspeed Venture Partners",2022,5,1,0.227,Low Funding,4.405286344
DeepBlue Technology,$1B,16-04-2018,Artificial intelligence,Shanghai,China,Asia,2014,$79M,"DESUN Capital, Yunfeng Capital, Meridian Capital",2018,4,1,0.079,Low Funding,12.65822785
dMed Biopharmaceutical,$1B,12-07-2021,Health,Shanghai,China,Asia,2016,$214M,"Qiming Venture Partners, Vivo Capital, Sequoia Capital China",2021,5,1,0.214,Low Funding,4.672897196
Einride,$1B,31-12-2021,Auto & transportation,Stockholm,Sweden,Europe,2016,$151M,"Temasek, BUILD Capital Partners, Northzone Ventures",2021,5,1,0.151,Low Funding,6.622516556
EQRx,$1B,11-01-2021,Health,Cambridge,United States,North America,2020,$700M,"Nextech Invest, Casdin Capital, Google Ventures",2021,1,1,0.7,Medium Funding,1.428571429
Everly Health,$1B,03-12-2020,E-commerce & direct-to-consumer,Austin,United States,North America,2015,$231M,"Highland Capital Partners, Next Coast Ventures, SoGal Ventures",2020,5,1,0.231,Low Funding,4.329004329
Fair,$1B,20-12-2018,Auto & transportation,Santa Monica,United States,North America,2016,$2B,"CreditEase Fintech Investment Fund, BMW i Ventures, SoftBank Group",2018,2,1,2,Medium Funding,0.5
Flipboard,$1B,22-07-2015,Internet software & services,Palo Alto,United States,North America,2010,$211M,"Kleiner Perkins Caufield & Byers, Comcast Ventures, Insight Partners",2015,5,1,0.211,Low Funding,4.739336493
Globality,$1B,22-01-2019,Artificial intelligence,Menlo Park,United States,North America,2015,$310M,SoftBank Group,2019,4,1,0.31,Low Funding,3.225806452
Hosjoy,$1B,18-10-2018,E-commerce & direct-to-consumer,Nanjing,China,Asia,2009,$139M,"U.S.-China Green Fund, Founder H Fund, Richland Equities",2018,9,1,0.139,Low Funding,7.194244604
Huisuanzhang,$1B,24-05-2021,Fintech,Beijing,China,Asia,2015,$227M,"IDG Capital, Gaocheng Capital, Chuanrong Capital",2021,6,1,0.227,Low Funding,4.405286344
HuJiang,$1B,29-10-2015,Edtech,Shanghai,China,Asia,2001,$223M,"China Minsheng Investment, Baidu, Wanxin Media",2015,14,1,0.223,Low Funding,4.484304933
Hyperchain,$1B,11-04-2021,Fintech,Hangzhou,China,Asia,2016,$249M,"Yinhong Equity Investment Fund, E Fund, Ideal International",2021,5,1,0.249,Low Funding,4.016064257
iTutorGroup,$1B,18-11-2015,Edtech,Shanghai,China,Asia,1998,$315M,"QiMing Venture Partners, Temasek Holdings, Silverlink Capital",2015,17,1,0.315,Low Funding,3.174603175
JimuBox,$1B,21-04-2015,Fintech,Beijing,China,Asia,2013,$131M,"Matrix Partners China, Ventech China, Shunwei Capital Partners",2015,2,1,0.131,Low Funding,7.633587786
Juma Peisong,$1B,26-11-2018,"Supply chain, logistics, & delivery",Chengdu,China,Asia,2011,$281M,"Ding Xiang Capital, New Hope Fund, Sino-Ocean Capital",2018,7,1,0.281,Low Funding,3.558718861
Justworks,$1B,28-01-2020,Internet software & services,New York,United States,North America,2012,$143M,"Index Ventures, Thrive Capital, Bain Capital Ventures",2020,8,1,0.143,Low Funding,6.993006993
Keenon Robotics,$1B,15-09-2021,"Supply chain, logistics, & delivery",Shanghai,China,Asia,2010,$229M,"Yunqi Partners, SoftBank Group, iVision Ventures",2021,11,1,0.229,Low Funding,4.366812227
Kuaigou Dache,$1B,13-07-2018,"Supply chain, logistics, & delivery",Tianjin,China,Asia,2014,$650M,"Sequoia Capital China, InnoVision Capital, Qianhai Fund of Funds",2018,4,1,0.65,Medium Funding,1.538461538
LifeMiles,$1B,13-07-2015,Other,Bogota,Colombia,South America,2011,$344M,Advent International,2015,4,1,0.344,Low Funding,2.906976744
LinkSure Network,$1B,01-01-2015,Mobile & telecommunications,Shanghai,China,Asia,2013,$52M,N/A,2015,2,1,0.052,Low Funding,19.23076923
MobiKwik,$1B,13-10-2021,Fintech,Gurugram,India,Asia,2009,$249M,"Sequoia Capital India, The Times Group, GMO VenturePartners",2021,12,1,0.249,Low Funding,4.016064257
Modernizing Medicine,$1B,10-05-2017,Health,Boca Raton,United States,North America,2010,$394M,"Warburg Pincus, Summit Partners, Sands Capital",2017,7,1,0.394,Low Funding,2.538071066
OVH,$1B,15-08-2016,Other,Roubaix,France,Europe,1999,$1B,"KKR, TowerBrook Capital Partners",2016,17,1,1,Medium Funding,1
Phenom People,$1B,07-04-2021,Internet software & services,Ambler,United States,North America,2011,$163M,"Sierra Ventures, AXA Venture Partners, Sigma Prime Ventures",2021,10,1,0.163,Low Funding,6.134969325
Pipa Coding,$1B,25-03-2021,Edtech,Beijing,China,Asia,2017,$268M,"Source Code Capital, XVC Venture Capital, Hillhouse Capital Management",2021,4,1,0.268,Low Funding,3.731343284
Qingting FM,$1B,02-06-2021,Internet software & services,Shanghai,China,Asia,2011,$164M,"China Culture Industrial Investment Fund, We Capital, China Minsheng Investment Group",2021,10,1,0.164,Low Funding,6.097560976
Rad Power Bikes,$1B,28-10-2021,Auto & transportation,Seattle,United States,North America,2007,$329M,"Durable Capital Partners, Cercano Management, T. Rowe Price",2021,14,1,0.329,Low Funding,3.039513678
Shukun Technology,$1B,16-08-2021,Artificial Intelligence,Beijing,China,Asia,2017,$211M,"Marathon Venture Partners, Huagai Capital, China Creation Ventures",2021,4,1,0.211,Low Funding,4.739336493
Shulan Health,$1B,01-03-2021,Health,Hangzhou,China,Asia,2015,$43M,Qiming Venture Partners,2021,6,1,0.043,Low Funding,23.25581395
SITECH DEV,$1B,16-05-2019,Other,Guiyang,China,Asia,2017,Unknown,China Prosperity Capital,2019,2,1,,Unknown,0
Snapdeal,$1B,21-05-2014,E-commerce & direct-to-consumer,New Delhi,India,Asia,2008,$2B,"SoftBankGroup, Blackrock, Alibaba Group",2014,6,1,2,Medium Funding,0.5
SumUp,$1B,16-07-2019,Fintech,London,United Kingdom,Europe,2011,$1B,"American Express Ventures, Goldman Sachs, Bain Capital Credit",2019,8,1,1,Medium Funding,1
TalkingData,$1B,06-01-2021,Mobile & telecommunications,Beijing,China,Asia,2013,$310M,"N5 Capital, CR Capital Mgmt, JD Digits",2021,8,1,0.31,Low Funding,3.225806452
TUNGEE,$1B,15-12-2021,Artificial Intelligence,Guangzhou,China,Asia,2016,$171M,"UNITY VENTURES, Qiming Venture Partners, GGV Capital",2021,5,1,0.171,Low Funding,5.847953216
UISEE Technology,$1B,25-01-2021,"Supply chain, logistics, & delivery",Beijing,China,Asia,2016,$154M,"Shenzhen Capital Group, Robert Bosch Venture Capital, SeptWolves Ventures",2021,5,1,0.154,Low Funding,6.493506494
Valgen Medtech,$1B,06-05-2021,Health,Hangzhou,China,Asia,2015,$188M,"Sequoia Capital China, China Life Investment Holding Company, Qiming Venture Partners",2021,6,1,0.188,Low Funding,5.319148936
Vectra Networks,$1B,29-04-2021,Artificial intelligence,San Jose,United States,North America,2011,$352M,"IA Ventures, Khosla Ventures, AME Cloud Ventures",2021,10,1,0.352,Low Funding,2.840909091
Venafi,$1B,10-12-2020,Cybersecurity,Salt Lake City,United States,North America,2000,$174M,"Pelion Venture Partners, Foundation Capital, Thoma Bravo",2020,20,1,0.174,Low Funding,5.747126437
Wacai,$1B,18-07-2018,Mobile & telecommunications,Hangzhou,China,Asia,2009,$369M,"Qiming Venture Partners, China Broadband Capital, CDH Investments",2018,9,1,0.369,Low Funding,2.7100271
WeBull,$1B,18-02-2021,Fintech,Changsha,China,Asia,2016,$230M,"Bojiang Capital, Hongdao Capital, Mobai Capital",2021,5,1,0.23,Low Funding,4.347826087
WTOIP,$1B,08-04-2018,Internet software & services,Guangzhou,China,Asia,2013,$307M,"Dark Horse Technology Group, Hopu Investment Management, Kefa Capital",2018,5,1,0.307,Low Funding,3.25732899
Xiaobing,$1B,12-07-2021,Fintech,Beijing,China,Asia,2020,Unknown,"NetEase Capital, Northern Light Venture Capital, Microsoft",2021,1,1,,Unknown,0
Xiaoe Tech,$1B,15-06-2021,Internet software & services,Shenzhen,China,Asia,2015,$149M,"GGV Capital, Hillhouse Capital Management, IDG Capital",2021,6,1,0.149,Low Funding,6.711409396
Yiguo,$1B,09-11-2016,"Supply chain, logistics, & delivery",Shanghai,China,Asia,2005,$800M,"Alibaba Group, KKR, Goldman Sachs",2016,11,1,0.8,Medium Funding,1.25
Yimidida,$1B,14-01-2019,"Supply chain, logistics, & delivery",Shanghai,China,Asia,2015,$554M,"Source Code Capital, Global Logistic Properties, K2VC",2019,4,1,0.554,Medium Funding,1.805054152
Yipin Shengxian,$1B,11-03-2019,E-commerce & direct-to-consumer,Hefei,China,Asia,2017,$658M,"Eastern Bell Capital, Capital Today, Longzhu Capital",2019,2,1,0.658,Medium Funding,1.519756839
Ynsect,$1B,21-02-2019,Other,Evry,France,Europe,2011,$393M,"Astanor Ventures, Upfront Ventures, IDInvest Partners",2019,8,1,0.393,Low Funding,2.544529262
Hello TransTech,$1B,01-06-2018,Auto & transportation,Shanghai,China,Asia,2016,$2B,"Ant Financial Services Group, GGV Capital",2018,2,1,2,Medium Funding,0.5
Miaoshou Doctor,$1B,27-06-2019,E-commerce & direct-to-consumer,Beijing,China,Asia,2015,$947M,"Sequoia Capital China, Qiming Venture Partners, Tencent Holdings",2019,4,1,0.947,Medium Funding,1.055966209
ECARX,$1B,26-10-2020,Auto & transportation,Wuhan,China,Asia,2016,$394M,"Geely, SIG Asia Investments, China State Capital Venture Capital Fund",2020,4,1,0.394,Low Funding,2.538071066
Eat Just,$1B,30-11-2017,Consumer & retail,San Francisco,United States,North America,2011,$440M,"Khosla Ventures, Horizons Ventures, Founders Fund",2017,6,1,0.44,Low Funding,2.272727273
Trumid,$1B,15-07-2020,Fintech,New York,United States,North America,2014,$660M,"T. Rowe Price, Dragoneer Investment Group, BlackRock",2020,6,1,0.66,Medium Funding,1.515151515
Qualia,$1B,21-12-2020,Fintech,San Francisco,United States,North America,2015,$160M,"8VC, Menlo Ventures, Tiger Global Management",2020,5,1,0.16,Low Funding,6.25
Beisen,$1B,11-05-2021,Internet software & services,Beijing,China,Asia,2002,$388M,"Matrix Partners China, Sequoia Capital China, Genesis Capital",2021,19,1,0.388,Low Funding,2.577319588
Earnix,$1B,21-02-2021,Fintech,Giv'atayim,Israel,Asia,2001,$98M,"Jerusalem Venture Partners, Israel Growth Partners, Insight Partners",2021,20,1,0.098,Low Funding,10.20408163
Kujiale,$1B,25-10-2019,Internet software & services,Hangzhou,China,Asia,2011,$235M,"GGV Capital, IDG Capital, Linear Venture",2019,8,1,0.235,Low Funding,4.255319149
Orca Security,$1B,23-03-2021,Cybersecurity,Portland,United States,North America,2019,$632M,"YL Ventures, Redpoint Ventures, GGV Capital",2021,2,1,0.632,Medium Funding,1.582278481
Apus Group,$1B,16-01-2015,Mobile & telecommunications,Beijing,China,Asia,2014,$116M,"Redpoint Ventures, QiMing Venture Partners, Chengwei Capital",2015,1,1,0.116,Low Funding,8.620689655
Forte Labs,$1B,12-05-2021,Fintech,San Francisco,United States,North America,2018,$910M,"Iris Capital, Accel, Elaia Partners",2021,3,1,0.91,Medium Funding,1.098901099
CureFit,$1B,10-11-2021,Health,Bengaluru,India,Asia,2016,$665M,"Chiratae Ventures, Accel, Kalaari Capital",2021,5,1,0.665,Medium Funding,1.503759398
DT Dream,$1B,08-06-2017,Data management & analytics,Hangzhou,China,Asia,2015,$267M,"Alibaba Group, China Everbright Investment Management, Yinxinggu Capital",2017,2,1,0.267,Low Funding,3.745318352
fabric,$1B,24-02-2022,E-commerce & direct-to-consumer,Bellevue,United States,North America,2017,$294M,"Redpoint Ventures, Norwest Venture Partners, Sierra Ventures",2022,5,1,0.294,Low Funding,3.401360544
JOLLY Information Technology,$1B,29-05-2018,E-commerce & direct-to-consumer,Hangzhou,China,Asia,2008,$96M,"Legend Capital, CDH Investments, Sequoia Capital China",2018,10,1,0.096,Low Funding,10.41666667
K Health,$1B,19-01-2021,Health,New York,United States,North America,2016,$271M,"Max Ventures, Mangrove Capital Partners, 14W",2021,5,1,0.271,Low Funding,3.6900369
Mofang Living,$1B,13-04-2016,E-commerce & direct-to-consumer,Shanghai,China,Asia,2009,$650M,"Warburg Pincus, Aviation Industry Corporation of China",2016,7,1,0.65,Medium Funding,1.538461538
Spendesk,$1B,18-01-2022,Fintech,Paris,France,Europe,2015,$314M,"Index Ventures, Eight Roads Ventures, General Atlantic",2022,7,1,0.314,Low Funding,3.184713376
TaxBit,$1B,04-08-2021,Fintech,Draper,United States,North America,2018,$236M,"Insight Partners, Coinbase Ventures, PayPal Ventures",2021,3,1,0.236,Low Funding,4.237288136
XiaoZhu,$1B,01-11-2017,Travel,Beijing,China,Asia,2012,$572M,"Morningside Ventures, Capital Today, JOY Capital",2017,5,1,0.572,Medium Funding,1.748251748
Yijiupi,$1B,20-09-2018,Consumer & retail,Beijing,China,Asia,2014,$511M,"Source Code Capital, Meituan Dianping, Tencent Holdings",2018,4,1,0.511,Medium Funding,1.956947162
YunQuNa,$1B,29-06-2021,"Supply chain, logistics, & delivery",Shanghai,China,Asia,2015,$207M,"Source Code Capital, Coatue Management, DCM Ventures",2021,6,1,0.207,Low Funding,4.830917874
Bordrin Motors,$1B,03-06-2019,Auto & transportation,Shanghai,China,Asia,2016,$362M,"China Grand Prosperity Investment, CSC Group",2019,3,1,0.362,Low Funding,2.762430939
Aleo,$1B,07-02-2022,Cybersecurity,San Francisco,United States,North America,2019,$228M,"Slow Ventures, Andreessen Horowitz, SoftBank Group",2022,3,1,0.228,Low Funding,4.385964912
Coocaa,$1B,16-03-2018,Hardware,Shenzhen,China,Asia,2006,$218M,"Baidu, Tencent Holdings",2018,12,1,0.218,Low Funding,4.587155963
Gymshark,$1B,14-08-2020,E-commerce & direct-to-consumer,Solihull,United Kingdom,Europe,2012,$262M,General Atlantic,2020,8,1,0.262,Low Funding,3.816793893
M1 Finance,$1B,14-07-2021,Fintech,Chicago,United States,North America,2015,$323M,"Left Lane Capital, Clocktower Technology Ventures, Jump Capital",2021,6,1,0.323,Low Funding,3.095975232
Ouyeel,$1B,27-06-2019,Internet software & services,Shanghai,China,Asia,2015,$432M,Taigang Venture Capital,2019,4,1,0.432,Low Funding,2.314814815
SonderMind,$1B,28-07-2021,Health,Denver,United States,North America,2014,$183M,"Kickstart Fund, General Catalyst, Drive Capital",2021,7,1,0.183,Low Funding,5.464480874
Astranis Space Technologies,$1B,14-04-2021,Mobile & telecommunications,San Francisco,United States,North America,2015,$303M,"Refactor Capital, Andreessen Horowitz, Fifty Years Fund",2021,6,1,0.303,Low Funding,3.300330033
Away,$1B,15-05-2019,E-commerce & direct-to-consumer,New York,United States,North America,2015,$181M,"Global Founders Capital, Comcast Ventures, Forerunner Ventures",2019,4,1,0.181,Low Funding,5.524861878
Cabify,$1B,22-01-2018,Auto & transportation,Madrid,Spain,Europe,2011,$407M,"Seaya Ventures, Otter Rock Capital, Rakuten",2018,7,1,0.407,Low Funding,2.457002457
